threshold,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate,estimated_business_loss,false_positives,false_negatives,true_positives,true_negatives
0.6100000000000001,0.8135375510137717,0.2207334879326634,0.5176233635448136,0.3094894026974952,0.16047613994127843,0.4823766364551863,49534500.0,9073,2395,2570,47465
0.6200000000000001,0.8211144171829017,0.22660990852277874,0.5039274924471299,0.31263276271398227,0.15103116488025753,0.4960725075528701,49753500.0,8539,2463,2502,47999
0.6300000000000001,0.8288538770466481,0.23323419361028494,0.4896273917421954,0.31596048869248766,0.1413562559694365,0.5103726082578046,49998000.0,7992,2534,2431,48546
0.6400000000000001,0.8355364778953872,0.23825980890424883,0.47210473313192347,0.31669256231844894,0.1325480208001698,0.5278952668680765,50556000.0,7494,2621,2344,49044
0.6500000000000001,0.8423979318082044,0.24465327284510693,0.4561933534743202,0.3184982071292976,0.12368672397325692,0.5438066465256798,50989500.0,6993,2700,2265,49545
0.6600000000000001,0.8486252703120173,0.2507743489732706,0.440281973816717,0.3195439263265604,0.11551522869574446,0.559718026183283,51481500.0,6531,2779,2186,50007
0.6700000000000002,0.8549339056631384,0.2576852418860992,0.42376636455186306,0.3204874333587205,0.10720223566450883,0.576233635448137,52006500.0,6061,2861,2104,50477
0.6800000000000002,0.8616815439897241,0.26776816155258326,0.41127895266868075,0.3243586688904773,0.09876543209876543,0.5887210473313192,52221000.0,5584,2923,2042,50954
0.6900000000000002,0.8673072858234557,0.2751196172248804,0.39375629405840884,0.32391682544942424,0.09110686617849942,0.6062437059415912,52876500.0,5151,3010,1955,51387
0.7000000000000002,0.8723151716176447,0.2812784004847016,0.3740181268882175,0.32108584767009596,0.08392585517704906,0.6259818731117824,53737500.0,4745,3108,1857,51793
0.7100000000000002,0.8768677950669073,0.28601903511650806,0.3510574018126888,0.3152183741748802,0.07695709080618345,0.6489425981873111,54856500.0,4351,3222,1743,52187
0.7200000000000001,0.881371640407785,0.29309426593289545,0.332527693856999,0.311568220418947,0.07043050691570271,0.667472306143001,55683000.0,3982,3314,1651,52556
0.7300000000000001,0.8854690015121214,0.2995178399228544,0.31278952668680765,0.30600985221674876,0.06423998019031447,0.6872104733131923,56628000.0,3632,3412,1553,52906
0.7400000000000001,0.8894037689218413,0.30707834488552826,0.2944612286002014,0.3006374665844129,0.05835013619158796,0.7055387713997986,57493500.0,3299,3503,1462,53239
0.7500000000000001,0.8933547957010227,0.31627478100507145,0.27633434038267873,0.2949586155003762,0.05246029219286144,0.7236656596173212,58344000.0,2966,3593,1372,53572
0.7600000000000001,0.896850560135278,0.3248666497332995,0.25760322255790535,0.28735115704336106,0.047012628674519795,0.7423967774420946,59277000.0,2658,3686,1279,53880
0.7700000000000001,0.9003300652000715,0.33493907622555963,0.2380664652567976,0.27831410407346363,0.04151190349853196,0.7619335347432025,60265500.0,2347,3783,1182,54191
0.7800000000000001,0.9031104173780141,0.34439574201628054,0.2215508559919436,0.2696408873636475,0.037037037037037035,0.7784491440080564,61116000.0,2094,3865,1100,54444
0.7900000000000001,0.906199697575728,0.3578500707213578,0.20382678751258812,0.25972026177338636,0.03211999009515724,0.7961732124874119,62019000.0,1816,3953,1012,54722
0.8000000000000002,0.9086548623644375,0.36861167002012074,0.18449144008056395,0.2459060402684564,0.027751246948954686,0.815508559919436,63088500.0,1569,4049,916,54969
